userPrincipalName,DisplayName,id,Email,givenName,surname,JobTitle,department,employeeType,employeeId,employeeHireDate,officeLocation,city,state,Country,postalCode,companyName,employeeOrgData_division,employeeOrgData_costCenter,accountEnabled,userType,createdDateTime,usageLocation,preferredLanguage,onPremisesSyncEnabled,onPremisesImmutableId,externalUserState,proxyAddresses_Primary,proxyAddresses_Count,proxyAddresses_All,manager_id,manager_displayName,manager_userPrincipalName,manager_mail,manager_jobTitle,ManagerID,BusinessAreaLabel,CountryofEmployment,CompanyCodeLabel,CostCentreLabel,UserName,EffectiveDate,FunctionType,BusinessAreaCode,OrgLevel_3Label,assignedLicenses,HasLicense
nan.wei@contoso.com,Nan Wei,390bf8cb-df69-4dd6-ae7b-c69e8aa15e5d,nan.wei@contoso.com,Nan,Wei,Financial Analyst,Finance,Full-Time,E55333,2025-11-23T04:49:22Z,Brisbane Office,Brisbane,Queensland,Australia,3850,Contoso Corporation,Corporate,CORP-FIN,True,Member,2/1/2026 4:55:34 PM,AU,en-AU,,,,nan.wei@contoso.com,2,SMTP:nan.wei@contoso.com; smtp:nan.wei@contoso.com,88ef9a3a-0190-4ad1-98b8-d245cf736d02,Kai Wu,kai.wu@contoso.com,kai.wu@contoso.com,Controller,88ef9a3a-0190-4ad1-98b8-d245cf736d02,Corporate,Australia,Contoso Corporation,CORP-FIN,nan.wei,,,,,Microsoft_365_Copilot;SPE_E5,TRUE
fraser.fisher@contoso.com,Fraser Fisher,0ac524a1-cde9-486d-9713-b39675290ed1,fraser.fisher@contoso.com,Fraser,Fisher,IT Specialist,IT,Full-Time,EMP53978,2024-11-27T02:11:40Z,Brisbane Office,Brisbane,Queensland,Australia,2910,Contoso Corporation,Technology,TECH-IT,True,Member,11/26/2025 1:58:06 AM,AU,en-AU,,,,fraser.fisher@contoso.com,1,SMTP:fraser.fisher@contoso.com,0761a6be-3634-40de-9f54-a0eec1912c24,Regina Santos,regina.santos@contoso.com,regina.santos@contoso.com,IT Manager,0761a6be-3634-40de-9f54-a0eec1912c24,Technology,Australia,Contoso Corporation,TECH-IT,fraser.fisher,,,,,Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
thao.ly@contoso.com,Thao Ly,7550f9ca-33d4-4d4b-a165-273e0878a968,thao.ly@contoso.com,Thao,Ly,Systems Administrator,IT,Full-Time,C98130,2019-07-11T18:59:48Z,Perth Office,Perth,Western Australia,Australia,5152,Contoso Corporation,Technology,TECH-IT,True,Member,5/11/2022 7:43:55 AM,AU,en-AU,,,,thao.ly@contoso.com,2,SMTP:thao.ly@contoso.com; smtp:thao.ly@contoso.com,95078b24-c668-46ee-b3c8-85216343f07d,Ashok Yadav,ashok.yadav@contoso.com,ashok.yadav@contoso.com,Director of IT,95078b24-c668-46ee-b3c8-85216343f07d,Technology,Australia,Contoso Corporation,TECH-IT,thao.ly,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
gustavo.peixoto@contoso.com,Gustavo Peixoto,63ec7e09-e8f0-4cdd-80b9-8b176074164b,gustavo.peixoto@contoso.com,Gustavo,Peixoto,HR Coordinator,HR,Full-Time,C65016,2020-01-12T12:01:18Z,Belo Horizonte Office,Belo Horizonte,Minas Gerais,Brazil,20057-167,Contoso Corporation,Corporate,CORP-HR,True,Member,9/23/2020 11:28:36 PM,BR,pt-BR,,,,gustavo.peixoto@contoso.com,1,SMTP:gustavo.peixoto@contoso.com,8dc30244-eef3-4bf8-bc07-f00cb91004e3,Talita Peixoto,talita.peixoto@contoso.com,talita.peixoto@contoso.com,Senior HR Manager,8dc30244-eef3-4bf8-bc07-f00cb91004e3,Corporate,Brazil,Contoso Corporation,CORP-HR,gustavo.peixoto,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
sana.aziz@contoso.com,Sana Aziz,45d3d36a-df4e-4896-8b61-11b39ba042eb,sana.aziz@contoso.com,Sana,Aziz,HR Manager,HR,Full-Time,E93290,2023-02-22T13:36:06Z,Paris Office,Paris,Île-de-France,France,94955,Contoso Corporation,Corporate,CORP-HR,True,Member,3/29/2024 6:57:36 AM,FR,fr-FR,,,,sana.aziz@contoso.com,2,SMTP:sana.aziz@contoso.com; smtp:sana.aziz@contoso.com,31cf8fb8-ea18-40a3-a849-0b352111b3f0,Benjamin Galloway,benjamin.galloway@contoso.com,benjamin.galloway@contoso.com,Senior HR Manager,31cf8fb8-ea18-40a3-a849-0b352111b3f0,Corporate,France,Contoso Corporation,CORP-HR,sana.aziz,,,,,FLOW_FREE;Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
iris.clarke@contoso.com,Iris Clarke,65a804eb-4720-4f17-b0ec-f6f8d0a89a73,iris.clarke@contoso.com,Iris,Clarke,Logistics Manager,Operations,Full-Time,C87497,2025-04-04T23:36:44Z,Sydney Office,Sydney,New South Wales,Australia,2323,Contoso Corporation,Operations,OPS-CORE,True,Member,1/2/2026 10:26:16 PM,AU,en-AU,,,,iris.clarke@contoso.com,1,SMTP:iris.clarke@contoso.com,d153c490-426b-4010-be20-d3f910b21e7b,Xin Xie,xin.xie@contoso.com,xin.xie@contoso.com,Operations Manager,d153c490-426b-4010-be20-d3f910b21e7b,Operations,Australia,Contoso Corporation,OPS-CORE,iris.clarke,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
matilda.fairbanks@contoso.com,Matilda Fairbanks,e0c7b82d-f77d-43fa-93ec-e98068c80a8d,matilda.fairbanks@contoso.com,Matilda,Fairbanks,IT Specialist,IT,Full-Time,EMP16907,2023-12-24T05:13:20Z,Hamburg Office,Hamburg,Hamburg,Germany,75500,Contoso Corporation,Technology,TECH-IT,True,Member,2/21/2026 3:19:13 AM,DE,de-DE,,,,matilda.fairbanks@contoso.com,1,SMTP:matilda.fairbanks@contoso.com,2ff19f13-a658-427a-b329-039c70de3d39,Lina Amin,lina.amin@contoso.com,lina.amin@contoso.com,Senior IT Manager,2ff19f13-a658-427a-b329-039c70de3d39,Technology,Germany,Contoso Corporation,TECH-IT,matilda.fairbanks,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
jessica.webb@contoso.com,Jessica Webb,0e8f4c93-55ff-4ad2-b9d6-cd0c47f22ccb,jessica.webb@contoso.com,Jessica,Webb,SEO Specialist,Marketing,Full-Time,EMP40652,2021-12-19T02:20:15Z,Perth Office,Perth,Western Australia,Australia,4921,Contoso Corporation,Revenue,REV-MKT,True,Member,11/13/2023 4:46:53 AM,AU,en-AU,,,,jessica.webb@contoso.com,1,SMTP:jessica.webb@contoso.com,31c48bb1-e6c7-41e2-bf00-0c97a5aa879b,Preeti Mehta,preeti.mehta@contoso.com,preeti.mehta@contoso.com,Director of Marketing,31c48bb1-e6c7-41e2-bf00-0c97a5aa879b,Revenue,Australia,Contoso Corporation,REV-MKT,jessica.webb,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
james.murray@contoso.com,James Murray,47b3010b-a3a8-492e-9988-694080e2564b,james.murray@contoso.com,James,Murray,Support Specialist,Support,Full-Time,EMP74662,2024-09-09T09:44:07Z,Lyon Office,Lyon,Auvergne-Rhône-Alpes,France,31077,Contoso Corporation,Operations,OPS-SUPPORT,True,Member,4/17/2026 8:09:57 PM,FR,fr-FR,,,,james.murray@contoso.com,1,SMTP:james.murray@contoso.com,060e78ba-dae0-43f4-80eb-cac74591ba85,Grace Scott,grace.scott@contoso.com,grace.scott@contoso.com,Support Manager,060e78ba-dae0-43f4-80eb-cac74591ba85,Operations,France,Contoso Corporation,OPS-SUPPORT,james.murray,,,,,Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_Intune_Suite;Microsoft_365_Copilot;SPE_E5,TRUE
fernando.medina@contoso.com,Fernando Medina,d3ded167-0a0f-4c46-9eb6-66062f9fca1d,fernando.medina@contoso.com,Fernando,Medina,Finance Manager,Finance,Full-Time,E43161,2015-11-10T19:53:30Z,Brasília Office,Brasília,Distrito Federal,Brazil,52936-423,Contoso Corporation,Corporate,CORP-FIN,True,Member,4/4/2020 2:45:03 PM,BR,pt-BR,,,,fernando.medina@contoso.com,2,SMTP:fernando.medina@contoso.com; smtp:fernando.medina@contoso.com,00c8aaad-13c6-465c-89bd-89e6cbf04072,Tong Yao,tong.yao@contoso.com,tong.yao@contoso.com,Director of Finance,00c8aaad-13c6-465c-89bd-89e6cbf04072,Corporate,Brazil,Contoso Corporation,CORP-FIN,fernando.medina,,,,,Microsoft_Intune_Suite;Microsoft_Entra_ID_Governance;Defender_Threat_Intelligence;Microsoft_365_Copilot;SPE_E5,TRUE
